#STEPS OVERALL-RMSD BB-RMSD SC-RMSD-ALIGN-BB SC-RMSD-ALIGN-SC ENERGY RG
2880 2.48836405 2.24227114 3.33313221 3.17561877 118.695246 22.6670807
2920 2.48953111 2.24346133 3.33423228 3.1770246 118.549149 22.6668898
2960 2.49892767 2.25208559 3.34619733 3.18928481 118.508399 22.6667265
3000 2.50468352 2.25844048 3.35049211 3.19420842 118.476108 22.6674144
3040 2.51295634 2.26685706 3.35868911 3.20305043 118.447067 22.6676509
3080 2.51937555 2.27333633 3.36518303 3.21003027 118.417409 22.6681081
3120 2.52296867 2.27708752 3.36847979 3.21361278 118.395447 22.6682048
3160 2.52816805 2.28230575 3.37382298 3.21933342 118.372974 22.6684494
3200 2.53983771 2.29427436 3.38508847 3.23160437 118.341636 22.6688313
3240 2.54192292 2.29630805 3.38739597 3.23403816 118.307917 22.6689126
3280 2.55568071 2.31016953 3.40135453 3.24916358 118.256774 22.669152
3320 2.5582549 2.31285471 3.40371789 3.25170744 118.235342 22.669196
3360 2.56783285 2.32259195 3.41317031 3.26208194 118.20542 22.6691449
3400 2.58057074 2.33555533 3.42575839 3.27554185 118.148441 22.6688357
3440 2.5824714 2.33744256 3.42773954 3.27781513 118.11023 22.6686406
3480 2.59130837 2.34648407 3.43630917 3.28713645 118.078502 22.6680069
3520 2.60023864 2.35559958 3.44499607 3.29675243 118.015631 22.6671371
3560 2.60292703 2.35841879 3.4474047 3.29940983 117.97807 22.6668945
3600 2.61818514 2.37411722 3.46194241 3.31528133 117.890136 22.6647179
3640 2.62058973 2.37669826 3.46391987 3.31750761 117.828521 22.6643102
3680 2.62840397 2.38490713 3.47088519 3.32517075 117.758581 22.6625615
3720 2.6303314 2.3869337 3.47260273 3.32701948 117.72091 22.6621698
3760 2.65419252 2.41215366 3.49348822 3.34958117 117.504059 22.6564135
3800 2.6554335 2.41349851 3.49446336 3.35071608 117.423457 22.6559195
3840 2.67617152 2.43562435 3.51204757 3.36948605 117.205819 22.6488442
3880 2.67841495 2.43803128 3.51389597 3.37151164 117.151695 22.6482478
3920 2.68686091 2.44701511 3.52110193 3.37924307 117.096385 22.6453964
3960 2.68875553 2.44900166 3.52279652 3.38105819 117.076397 22.6447871
4000 2.7024698 2.46338231 3.5350942 3.39404942 117.014097 22.6404509
